Made By:;Juan;Luis;Magaña;Paz
Fecha;Hora;Temperatura;Humedad;Presion;Wind speed;Rumbo;
09/06/19;20:20:42;41;55;49;8;SWW;
09/06/19;20:20:42;82;36;41;39;E;
09/06/19;20:20:42;54;86;45;16;WNW;
09/06/19;20:20:42;23;90;22;5;SWW;
09/06/19;20:20:42;75;28;88;66;SWW;
09/06/19;20:20:42;23;59;84;40;SSW;
09/06/19;20:20:42;50;55;91;70;WNW;
09/06/19;20:20:42;77;7;61;74;SSE;
09/06/19;20:20:42;8;27;57;2;SEE;
09/06/19;20:20:42;56;36;74;28;SSW;
09/06/19;20:20:42;66;27;66;3;SSE;
09/06/19;20:20:42;99;90;80;29;SEE;
09/06/19;20:20:42;65;61;22;7;NEE;
09/06/19;20:20:42;2;93;43;51;WNW;
09/06/19;20:20:42;24;96;83;49;S;
09/06/19;20:20:42;20;91;63;69;S;
09/06/19;20:20:42;97;66;67;22;E;
09/06/19;20:20:42;3;38;61;75;SWW;
09/06/19;20:20:42;33;21;54;58;S;
09/06/19;20:20:42;7;99;70;78;N;
09/06/19;20:20:42;81;95;58;13;W;
09/06/19;20:20:42;22;17;15;99;E;
09/06/19;20:20:42;70;7;87;84;WNW;
09/06/19;20:20:42;57;71;82;71;S;
09/06/19;20:20:42;2;87;17;88;SWW;
09/06/19;20:20:42;83;5;83;9;NEE;
09/06/19;20:20:42;85;7;66;46;NNE;
09/06/19;20:20:42;21;44;60;53;S;
09/06/19;20:20:42;90;19;53;85;W;
09/06/19;20:20:42;86;15;34;29;N;
09/06/19;20:20:42;21;29;48;24;NNW;
09/06/19;20:20:42;53;18;81;34;SSW;
09/06/19;20:20:42;67;32;21;6;N;
09/06/19;20:20:42;87;91;28;28;N;
09/06/19;20:20:42;33;98;29;72;E;
09/06/19;20:20:42;10;8;1;59;S;
09/06/19;20:20:42;9;2;63;90;E;
09/06/19;20:20:42;21;20;94;40;NNW;
09/06/19;20:20:42;3;85;64;54;SSW;
09/06/19;20:20:42;64;4;49;15;SSE;
09/06/19;20:20:42;68;74;45;87;WNW;
09/06/19;20:20:42;84;94;20;7;W;
09/06/19;20:20:42;95;93;5;92;SWW;
09/06/19;20:20:42;4;95;77;94;SWW;
09/06/19;20:20:42;66;17;47;61;N;
09/06/19;20:20:42;32;6;92;63;W;
09/06/19;20:20:42;54;78;48;91;E;
09/06/19;20:20:42;84;22;12;61;SSE;
09/06/19;20:20:42;83;57;93;19;SWW;
09/06/19;20:20:42;75;69;78;27;SEE;
09/06/19;20:20:42;20;70;40;52;SSE;
09/06/19;20:20:42;46;14;90;85;N;
09/06/19;20:20:42;4;73;65;88;SWW;
09/06/19;20:20:42;66;11;72;15;SSW;
09/06/19;20:20:42;8;41;47;48;NNE;
09/06/19;20:20:42;33;15;53;21;SEE;
09/06/19;20:20:42;25;48;60;26;NNE;
09/06/19;20:20:42;46;16;77;52;NNW;
09/06/19;20:20:42;47;98;79;4;NEE;
09/06/19;20:20:42;61;77;5;87;SSW;
09/06/19;20:20:42;26;81;17;86;SWW;
09/06/19;20:20:42;43;10;30;19;W;
09/06/19;20:20:42;85;23;3;38;WNW;
09/06/19;20:20:42;53;84;9;84;NNE;
09/06/19;20:20:42;9;41;61;27;NNW;
09/06/19;20:20:42;33;98;85;71;SSW;
09/06/19;20:20:42;82;86;8;13;NNE;
09/06/19;20:20:42;15;50;99;34;N;
09/06/19;20:20:42;62;12;40;44;SSW;
09/06/19;20:20:42;60;85;57;64;NNE;
09/06/19;20:20:42;9;77;98;90;SSW;
09/06/19;20:20:42;83;77;53;29;SEE;
09/06/19;20:20:42;38;98;41;59;NNE;
09/06/19;20:20:42;67;74;34;75;NNW;
09/06/19;20:20:42;1;71;42;54;NNW;
09/06/19;20:20:42;67;95;44;94;NEE;
09/06/19;20:20:42;19;4;85;26;NNE;
09/06/19;20:20:42;58;48;84;30;SSE;
09/06/19;20:20:42;10;26;33;11;N;
09/06/19;20:20:42;81;61;19;87;N;
09/06/19;20:20:42;74;13;52;96;NEE;
09/06/19;20:20:42;45;62;79;7;SWW;
09/06/19;20:20:42;56;6;50;43;SEE;
09/06/19;20:20:42;66;49;79;31;SSE;
09/06/19;20:20:42;99;46;64;22;S;
09/06/19;20:20:42;35;48;85;40;NEE;
09/06/19;20:20:42;35;59;22;35;W;
09/06/19;20:20:42;7;51;69;89;S;
09/06/19;20:20:42;23;97;83;78;N;
09/06/19;20:20:42;40;10;36;18;S;
09/06/19;20:20:42;90;59;15;91;E;
09/06/19;20:20:42;28;18;84;83;SSW;
09/06/19;20:20:42;88;5;16;51;E;
09/06/19;20:20:42;91;50;81;69;SWW;
09/06/19;20:20:42;92;20;72;13;NNE;
09/06/19;20:20:42;7;20;77;86;W;
09/06/19;20:20:42;44;25;89;16;N;
09/06/19;20:20:42;60;34;70;71;NNE;
09/06/19;20:20:42;6;43;98;8;E;
09/06/19;20:20:42;12;73;65;69;SSE;
09/06/19;20:20:42;20;4;82;43;WNW;
09/06/19;20:20:42;11;50;64;44;E;
09/06/19;20:20:42;20;31;82;82;SSE;
09/06/19;20:20:42;15;20;69;36;SSW;
09/06/19;20:20:42;11;95;47;42;N;
09/06/19;20:20:42;84;44;46;20;SEE;
09/06/19;20:20:42;60;19;42;78;NNE;
09/06/19;20:20:42;22;15;99;3;WNW;
09/06/19;20:20:42;40;11;73;53;SWW;
09/06/19;20:20:42;12;50;22;51;SSW;
09/06/19;20:20:42;79;72;48;35;SWW;
09/06/19;20:20:42;31;92;72;36;SSW;
09/06/19;20:20:42;40;40;27;89;S;
09/06/19;20:20:42;10;25;62;28;SWW;
09/06/19;20:20:42;21;55;63;14;NNE;
09/06/19;20:20:42;42;77;89;70;SEE;
09/06/19;20:20:42;86;51;76;52;NNE;
09/06/19;20:20:42;78;52;62;83;NNW;
09/06/19;20:20:42;92;77;21;45;NNE;
09/06/19;20:20:42;65;94;99;1;N;
09/06/19;20:20:42;62;95;21;59;NEE;
09/06/19;20:20:42;41;19;71;94;SSE;
09/06/19;20:20:42;53;97;28;36;S;
09/06/19;20:20:42;38;89;48;45;S;
09/06/19;20:20:42;98;76;31;6;NNE;
09/06/19;20:20:42;14;83;74;51;S;
09/06/19;20:20:42;92;6;6;2;WNW;
09/06/19;20:20:42;3;81;26;37;NNE;
09/06/19;20:20:42;23;74;19;82;WNW;
09/06/19;20:20:42;89;55;82;44;SSW;
09/06/19;20:20:42;35;10;63;69;WNW;
09/06/19;20:20:42;85;30;92;78;SSW;
09/06/19;20:20:42;33;75;47;49;NNE;
09/06/19;20:20:42;91;7;53;70;E;
09/06/19;20:20:42;53;41;35;99;NNW;
09/06/19;20:20:42;95;60;99;23;NNE;
09/06/19;20:20:42;56;35;26;97;W;
09/06/19;20:20:42;73;58;6;37;W;
09/06/19;20:20:42;31;10;38;28;SSE;
09/06/19;20:20:42;76;68;42;36;N;
09/06/19;20:20:42;79;61;3;15;E;
09/06/19;20:20:42;23;38;82;3;N;
09/06/19;20:20:42;17;2;61;2;SEE;
09/06/19;20:20:42;55;61;60;61;SSW;
09/06/19;20:20:42;99;5;86;65;S;
09/06/19;20:20:42;97;4;64;82;WNW;
09/06/19;20:20:42;31;59;52;96;WNW;
09/06/19;20:20:42;68;43;94;82;S;
09/06/19;20:20:42;17;11;85;73;NNW;
09/06/19;20:20:42;48;99;32;58;SEE;
09/06/19;20:20:42;35;89;51;85;N;
09/06/19;20:20:42;19;93;52;67;NEE;
09/06/19;20:20:42;49;5;68;75;N;
09/06/19;20:20:42;40;16;6;60;W;
09/06/19;20:20:42;52;94;44;28;W;
09/06/19;20:20:42;77;39;6;75;SSE;
09/06/19;20:20:42;4;87;97;68;E;
09/06/19;20:20:42;88;69;86;78;SWW;
09/06/19;20:20:42;62;63;95;60;NEE;
09/06/19;20:20:42;41;12;71;99;WNW;
09/06/19;20:20:42;78;21;31;17;S;
09/06/19;20:20:42;82;12;45;96;NEE;
09/06/19;20:20:42;42;59;29;35;NEE;
09/06/19;20:20:42;12;45;69;59;NNW;
09/06/19;20:20:42;88;85;53;41;S;
09/06/19;20:20:42;11;11;46;11;WNW;
09/06/19;20:20:42;11;51;76;81;SEE;
09/06/19;20:20:42;77;51;28;74;N;
09/06/19;20:20:42;97;83;35;87;W;
09/06/19;20:20:42;78;2;17;39;W;
09/06/19;20:20:42;49;24;33;51;NNE;
09/06/19;20:20:42;72;26;27;51;SEE;
09/06/19;20:20:42;5;38;84;52;E;
09/06/19;20:20:42;61;8;12;22;SWW;
09/06/19;20:20:42;61;20;44;63;WNW;
09/06/19;20:20:42;89;49;38;55;E;
09/06/19;20:20:42;38;65;56;14;S;
09/06/19;20:20:42;46;50;85;38;NNW;
09/06/19;20:20:42;25;66;10;57;SSW;
09/06/19;20:20:42;74;42;59;17;SEE;
09/06/19;20:20:42;31;39;25;41;W;
09/06/19;20:20:42;64;43;35;29;NNW;
09/06/19;20:20:42;95;33;61;18;W;
09/06/19;20:20:42;49;12;11;31;NNE;
09/06/19;20:20:42;27;21;33;54;E;
09/06/19;20:20:42;23;65;68;34;N;
09/06/19;20:20:42;54;48;27;80;NEE;
09/06/19;20:20:42;22;51;97;13;E;
09/06/19;20:20:42;51;5;71;52;SSE;
09/06/19;20:20:42;28;61;71;14;E;
09/06/19;20:20:42;83;54;35;6;N;
09/06/19;20:20:42;98;18;40;70;SSW;
09/06/19;20:20:42;16;64;27;61;SWW;
09/06/19;20:20:42;19;64;55;19;WNW;
09/06/19;20:20:42;9;77;71;90;N;
09/06/19;20:20:42;87;81;19;37;W;
09/06/19;20:20:42;44;36;14;74;S;
09/06/19;20:20:42;17;21;25;98;S;
09/06/19;20:20:42;83;25;98;15;NEE;
09/06/19;20:20:42;21;90;16;66;NNW;
09/06/19;20:20:42;16;99;3;52;N;
09/06/19;20:20:42;14;56;89;90;SEE;
09/06/19;20:20:42;96;20;25;3;E;
09/06/19;20:20:42;66;86;87;6;NNE;
09/06/19;20:20:42;15;96;78;90;SSE;
09/06/19;20:20:42;33;35;9;55;SWW;
09/06/19;20:20:42;28;97;68;93;N;
09/06/19;20:20:42;75;60;32;86;WNW;
09/06/19;20:20:42;68;14;36;64;E;
09/06/19;20:20:42;58;94;29;83;W;
09/06/19;20:20:42;35;97;6;68;E;
09/06/19;20:20:42;71;5;88;28;NEE;
09/06/19;20:20:42;22;49;74;7;NNW;
09/06/19;20:20:42;65;49;22;66;SEE;
09/06/19;20:20:42;60;40;84;29;SSE;
09/06/19;20:20:42;93;2;41;21;WNW;
09/06/19;20:20:42;88;95;9;78;S;
09/06/19;20:20:42;28;93;92;40;S;
09/06/19;20:20:42;98;45;60;54;NEE;
09/06/19;20:20:42;61;53;48;7;NNW;
09/06/19;20:20:42;6;77;19;6;SWW;
09/06/19;20:20:42;33;64;70;27;S;
09/06/19;20:20:42;30;72;57;24;NEE;
09/06/19;20:20:42;99;11;55;80;SSE;
09/06/19;20:20:42;73;20;59;44;NNE;
09/06/19;20:20:42;10;97;57;9;NNE;
09/06/19;20:20:42;5;65;96;22;SSE;
09/06/19;20:20:42;85;57;1;15;E;
09/06/19;20:20:42;52;14;15;81;SWW;
09/06/19;20:20:42;80;71;18;59;NNE;
09/06/19;20:20:42;76;78;89;11;E;
09/06/19;20:20:42;42;90;1;46;NNW;
09/06/19;20:20:42;62;24;92;33;NNE;
09/06/19;20:20:42;10;74;69;72;SSW;
09/06/19;20:20:42;47;99;65;94;E;
09/06/19;20:20:42;19;30;61;23;SEE;
09/06/19;20:20:42;66;81;73;45;N;
09/06/19;20:20:42;22;60;26;55;SEE;
09/06/19;20:20:42;73;16;36;68;E;
09/06/19;20:20:42;93;5;25;78;E;
09/06/19;20:20:42;46;38;95;9;SEE;
09/06/19;20:20:42;95;1;15;77;NEE;
09/06/19;20:20:42;6;96;71;13;SSW;
09/06/19;20:20:42;86;29;91;5;SSW;
09/06/19;20:20:42;63;90;47;99;N;
09/06/19;20:20:42;47;26;63;42;NNE;
09/06/19;20:20:42;14;63;2;43;NNE;
09/06/19;20:20:42;11;76;48;2;WNW;
09/06/19;20:20:42;21;4;7;79;S;
09/06/19;20:20:42;43;83;54;97;SSW;
09/06/19;20:20:42;81;10;35;72;S;
09/06/19;20:20:42;53;80;51;48;N;
09/06/19;20:20:42;84;61;44;4;SEE;
09/06/19;20:20:42;57;9;40;46;WNW;
09/06/19;20:20:42;65;38;41;97;S;
09/06/19;20:20:42;34;10;15;45;NNW;
09/06/19;20:20:42;30;52;91;14;SWW;
09/06/19;20:20:42;91;49;65;59;SSE;
09/06/19;20:20:42;82;16;29;7;SWW;
09/06/19;20:20:42;88;87;68;10;E;
09/06/19;20:20:42;56;10;42;23;E;
09/06/19;20:20:42;72;28;40;65;SSW;
09/06/19;20:20:42;84;62;23;33;E;
09/06/19;20:20:42;36;8;15;27;NNE;
09/06/19;20:20:42;18;1;15;22;SSW;
09/06/19;20:20:42;60;54;50;92;NNW;
09/06/19;20:20:42;23;48;68;94;SEE;
09/06/19;20:20:42;21;34;51;34;WNW;
09/06/19;20:20:42;2;86;52;65;WNW;
09/06/19;20:20:42;78;53;99;96;NNE;
09/06/19;20:20:42;15;4;41;4;WNW;
09/06/19;20:20:42;2;13;31;12;N;
09/06/19;20:20:42;24;14;84;38;W;
09/06/19;20:20:42;67;5;50;48;S;
09/06/19;20:20:42;37;36;89;3;NNW;
09/06/19;20:20:42;33;30;10;94;WNW;
09/06/19;20:20:42;95;47;54;43;SWW;
09/06/19;20:20:42;62;52;11;91;SEE;
09/06/19;20:20:42;9;50;51;33;S;
09/06/19;20:20:42;44;94;18;97;SEE;
09/06/19;20:20:42;33;35;71;45;W;
09/06/19;20:20:42;90;96;52;31;E;
09/06/19;20:20:42;68;72;20;24;NNW;
09/06/19;20:20:42;41;33;19;94;NNW;
09/06/19;20:20:42;31;22;98;15;W;
09/06/19;20:20:42;26;74;72;42;E;
09/06/19;20:20:42;82;50;60;40;SSE;
09/06/19;20:20:42;68;60;35;94;SSW;
09/06/19;20:20:42;52;91;47;11;E;
09/06/19;20:20:42;45;79;20;62;S;
09/06/19;20:20:42;59;48;84;12;W;
09/06/19;20:20:42;76;17;29;55;SWW;
09/06/19;20:20:42;47;59;21;4;N;
09/06/19;20:20:42;83;34;28;28;NEE;
09/06/19;20:20:42;46;72;5;73;NEE;
09/06/19;20:20:42;63;39;68;3;NNE;
09/06/19;20:20:42;76;90;67;46;WNW;
09/06/19;20:20:42;75;6;85;23;S;
09/06/19;20:20:42;50;45;29;39;NNW;
09/06/19;20:20:42;61;23;33;7;SEE;
09/06/19;20:20:42;76;54;22;80;NEE;
09/06/19;20:20:42;49;9;22;36;WNW;
09/06/19;20:20:42;98;64;64;98;W;
09/06/19;20:20:42;28;64;36;87;NNW;
09/06/19;20:20:42;91;76;37;96;W;
09/06/19;20:20:42;94;39;97;22;SSE;
09/06/19;20:20:42;53;95;33;38;SSW;
09/06/19;20:20:42;33;90;53;75;W;
09/06/19;20:20:42;86;77;17;76;SEE;
09/06/19;20:20:42;48;56;53;62;SSE;
09/06/19;20:20:42;31;45;68;11;SSE;
09/06/19;20:20:42;27;24;53;71;NNE;
09/06/19;20:20:42;18;87;7;95;NNE;
09/06/19;20:20:42;32;85;4;18;E;
09/06/19;20:20:42;43;46;88;37;NNW;
09/06/19;20:20:42;94;17;85;89;SEE;
09/06/19;20:20:42;6;2;79;53;E;
09/06/19;20:20:42;65;55;48;22;SSE;
09/06/19;20:20:42;71;9;64;6;S;
09/06/19;20:20:42;74;36;28;87;N;
09/06/19;20:20:42;58;12;97;51;NNW;
09/06/19;20:20:42;32;39;5;55;SEE;
09/06/19;20:20:42;41;37;26;24;E;
09/06/19;20:20:42;85;28;35;20;N;
09/06/19;20:20:42;22;12;23;61;NNW;
09/06/19;20:20:42;48;35;3;6;NEE;
09/06/19;20:20:42;15;38;88;50;S;
09/06/19;20:20:42;32;54;77;9;NEE;
09/06/19;20:20:42;66;79;46;43;SSE;
09/06/19;20:20:42;17;40;92;5;W;
09/06/19;20:20:42;86;57;7;16;NNE;
09/06/19;20:20:42;74;51;9;15;NEE;
09/06/19;20:20:42;92;5;11;60;NNW;
09/06/19;20:20:42;83;43;45;63;N;
09/06/19;20:20:42;1;12;41;9;NEE;
09/06/19;20:20:42;57;93;60;64;NNW;
09/06/19;20:20:42;5;29;88;59;W;
09/06/19;20:20:42;43;42;12;45;SEE;
09/06/19;20:20:42;99;55;34;18;SWW;
09/06/19;20:20:42;16;86;75;75;E;
09/06/19;20:20:42;84;82;61;74;NNW;
09/06/19;20:20:42;33;7;46;41;NNW;
09/06/19;20:20:42;30;72;24;15;NNE;
09/06/19;20:20:42;74;19;7;3;NNE;
09/06/19;20:20:42;52;15;91;26;SWW;
09/06/19;20:20:42;71;30;94;22;S;
09/06/19;20:20:42;4;68;11;99;SSE;
09/06/19;20:20:42;23;42;81;18;SSW;
09/06/19;20:20:42;4;5;75;47;SSW;
09/06/19;20:20:42;84;37;36;76;SSW;
09/06/19;20:20:42;56;20;73;67;SEE;
09/06/19;20:20:42;49;85;66;50;N;
09/06/19;20:20:42;8;64;60;4;S;
09/06/19;20:20:42;20;42;91;30;NNE;
09/06/19;20:20:42;94;83;62;21;SEE;
09/06/19;20:20:42;48;20;55;65;W;
09/06/19;20:20:42;66;1;53;23;SEE;
09/06/19;20:20:42;7;53;83;84;N;
09/06/19;20:20:42;68;7;62;44;SSW;
09/06/19;20:20:42;13;93;35;75;W;
09/06/19;20:20:42;75;89;45;44;NNE;
09/06/19;20:20:42;23;15;18;57;NNW;
09/06/19;20:20:42;71;92;10;59;S;
09/06/19;20:20:42;90;94;64;52;SSE;
09/06/19;20:20:42;1;62;27;28;NEE;
09/06/19;20:20:42;62;28;70;12;N;
09/06/19;20:20:42;56;88;11;85;WNW;
09/06/19;20:20:42;15;79;48;93;N;
09/06/19;20:20:42;30;34;79;78;SEE;
09/06/19;20:20:42;9;21;9;7;E;
09/06/19;20:20:42;91;17;57;43;NNW;
09/06/19;20:20:42;89;47;66;10;S;
09/06/19;20:20:42;30;60;31;36;S;
09/06/19;20:20:42;53;35;99;61;WNW;
09/06/19;20:20:42;86;37;6;28;SEE;
09/06/19;20:20:42;39;33;23;95;SSW;
09/06/19;20:20:42;18;97;61;65;WNW;
09/06/19;20:20:42;78;38;63;77;NEE;
09/06/19;20:20:42;49;74;79;12;E;
09/06/19;20:20:42;63;95;36;30;SSE;
09/06/19;20:20:42;37;39;14;86;NNW;
09/06/19;20:20:42;48;61;16;13;SSE;
09/06/19;20:20:42;37;73;16;74;NNW;
09/06/19;20:20:42;31;56;94;6;WNW;
09/06/19;20:20:42;58;21;11;1;SSW;
09/06/19;20:20:42;52;51;97;88;SSW;
09/06/19;20:20:42;68;61;67;3;S;
09/06/19;20:20:42;73;76;73;94;SSW;
09/06/19;20:20:42;72;89;69;80;E;
09/06/19;20:20:42;19;1;65;50;SWW;
09/06/19;20:20:42;95;97;27;99;NEE;
09/06/19;20:20:42;17;25;83;18;W;
09/06/19;20:20:42;50;90;10;41;SWW;
09/06/19;20:20:42;64;37;42;99;E;
09/06/19;20:20:42;46;73;95;33;N;
09/06/19;20:20:42;37;77;73;82;S;
09/06/19;20:20:42;20;43;23;7;SEE;
09/06/19;20:20:42;37;13;52;97;SEE;
09/06/19;20:20:42;35;3;98;54;SSW;
09/06/19;20:20:42;83;43;81;62;S;
09/06/19;20:20:42;57;52;16;65;SSW;
09/06/19;20:20:42;21;47;88;19;SSW;
09/06/19;20:20:42;42;57;29;14;SSE;
09/06/19;20:20:42;36;37;1;21;SSW;
09/06/19;20:20:42;35;75;70;87;SSW;
